trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
6074081,7/6/2015 12:46,7/6/2015 12:56,3657,607,220,Hampden Ct & Diversey Pkwy,114,Sheffield Ave & Addison St,Customer,,
6042969,7/5/2015 7:41,7/5/2015 7:52,3806,648,51,Clark St & Randolph St,161,Rush St & Superior St,Customer,,
6219195,7/13/2015 17:16,7/13/2015 17:18,4110,112,113,Bissell St & Armitage Ave,327,Sheffield Ave & Webster Ave,Subscriber,Male,1993.0
6142877,7/10/2015 9:44,7/10/2015 10:04,1527,1237,499,Kosciuszko Park,16,Paulina  Ave (Wood St) & North Ave,Subscriber,Female,1989.0
6463769,7/25/2015 11:24,7/25/2015 11:39,1354,892,141,Clark St & Lincoln Ave,327,Sheffield Ave & Webster Ave,Customer,,
6431928,7/23/2015 19:56,7/23/2015 20:09,1016,790,140,Dearborn Pkwy & Delaware Pl,51,Clark St & Randolph St,Subscriber,Male,1956.0
6283446,7/17/2015 8:42,7/17/2015 8:56,4759,847,128,Damen Ave & Chicago Ave,31,Franklin St & Chicago Ave,Subscriber,Male,1982.0
6070349,7/6/2015 8:43,7/6/2015 9:03,3278,1177,86,Eckhart Park,47,State St & Kinzie St,Subscriber,Male,1982.0
6174474,7/11/2015 14:51,7/11/2015 15:09,4476,1058,176,Clark St & Elm St,268,Lake Shore Dr & North Blvd,Customer,,
6125387,7/9/2015 13:18,7/9/2015 15:34,2167,8141,284,Michigan Ave & Jackson Blvd,90,Millennium Park,Customer,,
6058909,7/5/2015 17:09,7/5/2015 17:24,1495,941,94,Clark St & Armitage Ave,58,Marshfield Ave & Cortland St,Customer,,
6417555,7/23/2015 9:19,7/23/2015 9:43,3568,1435,331,Halsted St & Blackhawk St,31,Franklin St & Chicago Ave,Customer,,
6281656,7/17/2015 7:29,7/17/2015 7:40,47,700,301,Clark St & Schiller St,177,Theater on the Lake,Subscriber,Female,1984.0
6203172,7/12/2015 18:17,7/12/2015 18:30,2537,791,2,Buckingham Fountain,76,Lake Shore Dr & Monroe St,Subscriber,Female,1990.0
6410420,7/22/2015 20:03,7/22/2015 20:09,2617,343,66,Clinton St & Lake St,88,May St & Randolph St,Subscriber,Male,1957.0
6029712,7/4/2015 16:31,7/4/2015 17:25,3115,3201,239,Western Ave & Leland Ave,99,Lake Shore Dr & Ohio St,Customer,,
6309691,7/18/2015 13:22,7/18/2015 14:08,3564,2778,2,Buckingham Fountain,2,Buckingham Fountain,Customer,,
5968718,7/2/2015 11:18,7/2/2015 11:21,2480,145,66,Clinton St & Lake St,77,Clinton St & Madison St,Subscriber,Female,1956.0
6496398,7/26/2015 17:52,7/26/2015 18:08,1135,997,133,Kingsbury St & Kinzie St,60,Dayton St & North Ave,Customer,,
6337775,7/19/2015 16:29,7/19/2015 16:47,4795,1094,36,Franklin St & Jackson Blvd,196,Cityfront Plaza Dr & Pioneer Ct,Customer,,
6260906,7/15/2015 18:03,7/15/2015 19:09,4459,3925,226,Racine Ave & Belmont Ave,115,Sheffield Ave & Wellington Ave,Customer,,
6385234,7/21/2015 18:18,7/21/2015 18:32,2559,825,34,Cannon Dr & Fullerton Ave,127,Lincoln Ave & Fullerton Ave,Customer,,
6413819,7/23/2015 5:48,7/23/2015 5:53,2080,277,288,Larrabee St & Armitage Ave,289,Wells St & Concord Pl,Subscriber,Female,1989.0
6254412,7/15/2015 14:16,7/15/2015 14:40,1975,1421,177,Theater on the Lake,85,Michigan Ave & Oak St,Customer,,
