trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
8532400,12/25/2015 11:21,12/25/2015 11:38,2683,1050,43,Michigan Ave & Washington St,350,Ashland Ave & Chicago Ave,Subscriber,Female,1965.0
8499834,12/17/2015 23:33,12/17/2015 23:41,277,510,394,Clark St & 9th St (AMLI),100,Orleans St & Merchandise Mart Plaza,Subscriber,Female,1994.0
8506105,12/19/2015 9:14,12/19/2015 9:24,1115,592,230,Lincoln Ave & Roscoe St,300,Broadway & Barry Ave,Subscriber,Male,1963.0
7864785,10/10/2015 8:22,10/10/2015 8:36,1593,819,364,Larrabee St & Oak St,61,Wood St & Milwaukee Ave,Subscriber,Male,1987.0
8206834,11/6/2015 8:19,11/6/2015 8:23,1185,191,36,Franklin St & Jackson Blvd,33,State St & Van Buren St,Subscriber,Male,1978.0
8364463,11/27/2015 12:40,11/27/2015 12:59,2947,1101,202,Halsted St & 18th St,212,Wells St & Hubbard St,Subscriber,Male,1984.0
8025287,10/21/2015 13:26,10/21/2015 13:33,3219,417,48,Larrabee St & Kingsbury St,211,St. Clair St & Erie St,Subscriber,Male,1966.0
8102090,10/27/2015 17:50,10/27/2015 18:00,1970,609,81,Daley Center Plaza,41,Federal St & Polk St,Subscriber,Female,1986.0
8296969,11/15/2015 19:58,11/15/2015 20:07,406,545,120,Wentworth Ave & Archer Ave,207,Emerald Ave & 28th St,Subscriber,Female,1993.0
7802136,10/5/2015 21:43,10/5/2015 21:52,3666,568,69,Damen Ave & Pierce Ave,219,Damen Ave & Cortland St,Subscriber,Male,1993.0
8174411,11/3/2015 18:16,11/3/2015 18:21,992,323,140,Dearborn Pkwy & Delaware Pl,31,Franklin St & Chicago Ave,Subscriber,Female,1985.0
8205661,11/6/2015 7:09,11/6/2015 7:18,897,556,72,Wabash Ave (State St) & 16th St,50,Clark St & Congress Pkwy,Subscriber,Male,1990.0
7764046,10/2/2015 11:31,10/2/2015 12:23,3052,3087,264,Stetson Ave & South Water St,35,Streeter Dr & Illinois St,Customer,,
7804578,10/6/2015 8:03,10/6/2015 8:06,4255,198,149,Calumet Ave & 33rd St,148,State St & 33rd St,Subscriber,Male,1995.0
8283048,11/14/2015 12:14,11/14/2015 12:25,2922,687,341,Adler Planetarium,97,Museum Campus,Customer,,
8204364,11/5/2015 21:28,11/5/2015 21:29,4222,87,75,Canal St & Jackson Blvd,68,Clinton St & Tilden St,Subscriber,Male,1989.0
8108356,10/28/2015 16:41,10/28/2015 16:57,3237,987,194,Wabash Ave & Wacker Pl,233,Sangamon St & Washington Blvd,Subscriber,Female,1975.0
7985747,10/18/2015 15:45,10/18/2015 16:02,1202,1063,94,Clark St & Armitage Ave,180,Ritchie Ct & Banks St,Customer,,
8147202,11/2/2015 5:30,11/2/2015 5:34,70,247,198,Green St (Halsted St) & Madison St,192,Canal St & Adams St,Subscriber,Male,1993.0
7886068,10/11/2015 13:31,10/11/2015 13:57,3085,1510,59,Wabash Ave & Roosevelt Rd,211,St. Clair St & Erie St,Customer,,
8175899,11/3/2015 19:59,11/3/2015 20:12,3409,756,20,Sheffield Ave & Kingsbury St,158,Milwaukee Ave & Wabansia Ave,Subscriber,Male,1952.0
8349437,11/24/2015 7:39,11/24/2015 7:43,740,251,153,Southport Ave & Wellington Ave,115,Sheffield Ave & Wellington Ave,Subscriber,Female,1977.0
7838464,10/8/2015 10:38,10/8/2015 10:45,602,399,174,Canal St & Madison St,71,Morgan St & Lake St,Subscriber,Male,1992.0
8168695,11/3/2015 13:31,11/3/2015 13:37,3638,365,98,LaSalle St & Washington St,133,Kingsbury St & Kinzie St,Subscriber,Male,1952.0
7929064,10/14/2015 8:10,10/14/2015 8:18,3234,481,53,Wells St & Erie St,49,Dearborn St & Monroe St,Subscriber,Male,1982.0
7946021,10/15/2015 10:49,10/15/2015 11:05,4289,940,202,Halsted St & 18th St,212,Wells St & Hubbard St,Subscriber,Male,1984.0
8114440,10/29/2015 9:35,10/29/2015 9:38,1098,198,33,State St & Van Buren St,36,Franklin St & Jackson Blvd,Subscriber,Male,1978.0
8060329,10/23/2015 20:45,10/23/2015 20:48,3128,203,460,Clark St & Bryn Mawr Ave,463,Clark St & Berwyn Ave,Subscriber,Female,1981.0
8108475,10/28/2015 16:48,10/28/2015 16:53,3563,298,192,Canal St & Adams St,198,Green St (Halsted St) & Madison St,Subscriber,Male,1984.0
8116628,10/29/2015 15:21,10/29/2015 15:28,4708,421,31,Franklin St & Chicago Ave,174,Canal St & Madison St,Subscriber,Male,1981.0
7855926,10/9/2015 13:45,10/9/2015 13:54,3564,546,213,Leavitt St & North Ave,30,Ashland Ave & Augusta Blvd,Customer,,
8464427,12/12/2015 12:28,12/12/2015 12:43,76,889,231,Sheridan Rd & Montrose Ave,152,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1972.0
8209917,11/6/2015 13:09,11/6/2015 13:17,326,493,18,Wacker Dr & Washington St,45,Michigan Ave & Congress Pkwy,Subscriber,Male,1955.0
7855015,10/9/2015 12:27,10/9/2015 12:32,253,262,164,Franklin St & Lake St,44,State St & Randolph St,Subscriber,Male,1991.0
7771484,10/2/2015 19:21,10/2/2015 19:28,2146,455,426,Ellis Ave & 60th St,418,Ellis Ave & 53rd St,Subscriber,Male,1994.0
8174889,11/3/2015 18:43,11/3/2015 18:51,703,458,62,McCormick Place,263,Rhodes Ave & 32nd St,Subscriber,Female,1975.0
8519073,12/22/2015 9:33,12/22/2015 9:40,2285,468,277,Ashland Ave & Grand Ave,233,Sangamon St & Washington Blvd,Subscriber,Female,1987.0
8290246,11/15/2015 11:20,11/15/2015 11:31,2766,655,66,Clinton St & Lake St,57,Clinton St & Roosevelt Rd,Subscriber,Female,1981.0
7812813,10/6/2015 17:14,10/6/2015 17:19,189,326,36,Franklin St & Jackson Blvd,134,Peoria St & Jackson Blvd,Subscriber,Male,1961.0
7859115,10/9/2015 16:48,10/9/2015 17:01,1839,759,286,Franklin St & Quincy St,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1990.0
8017644,10/20/2015 19:45,10/20/2015 19:55,4032,608,464,Damen Ave & Foster Ave,326,Clark St & Leland Ave,Subscriber,Male,1974.0
8019401,10/21/2015 6:37,10/21/2015 6:52,4513,895,331,Halsted St & Blackhawk St,191,Canal St & Monroe St,Subscriber,Male,1986.0
7951116,10/15/2015 17:09,10/15/2015 17:17,417,502,43,Michigan Ave & Washington St,174,Canal St & Madison St,Subscriber,Male,1977.0
7786521,10/4/2015 17:12,10/4/2015 17:14,1943,154,418,Ellis Ave & 53rd St,420,Ellis Ave & 55th St,Subscriber,Female,1992.0
8056788,10/23/2015 16:11,10/23/2015 16:16,3329,250,238,Ravenswood Ave & Montrose Ave,243,Lincoln Ave & Leavitt St,Subscriber,Male,1967.0
8206870,11/6/2015 8:21,11/6/2015 8:37,3394,997,340,Clark St & Wrightwood Ave,48,Larrabee St & Kingsbury St,Subscriber,Male,1980.0
7914238,10/13/2015 7:51,10/13/2015 7:55,1996,207,312,Clarendon Ave & Gordon Ter,254,Pine Grove Ave & Irving Park Rd,Subscriber,Male,1985.0
8058427,10/23/2015 17:19,10/23/2015 17:31,1806,696,287,Franklin St & Monroe St,111,Sedgwick St & Huron St,Subscriber,Male,1984.0
7779704,10/3/2015 18:47,10/3/2015 18:59,590,754,52,Michigan Ave & Lake St,176,Clark St & Elm St,Subscriber,Male,1989.0
8309874,11/17/2015 9:25,11/17/2015 9:35,2359,607,110,Dearborn St & Erie St,264,Stetson Ave & South Water St,Subscriber,Male,1987.0
8089331,10/26/2015 17:13,10/26/2015 17:26,3413,794,125,Rush St & Hubbard St,192,Canal St & Adams St,Subscriber,Male,1981.0
7777758,10/3/2015 14:55,10/3/2015 15:03,4107,435,244,Ravenswood Ave & Irving Park Rd,230,Lincoln Ave & Roscoe St,Subscriber,Male,1984.0
8138547,11/1/2015 10:45,11/1/2015 10:47,2243,146,142,McClurg Ct & Erie St,211,St. Clair St & Erie St,Subscriber,Male,1974.0
8444832,12/10/2015 6:54,12/10/2015 7:03,2059,531,192,Canal St & Adams St,52,Michigan Ave & Lake St,Subscriber,Male,1992.0
7879825,10/11/2015 8:22,10/11/2015 8:45,2318,1410,153,Southport Ave & Wellington Ave,153,Southport Ave & Wellington Ave,Subscriber,Male,1984.0
8241831,11/9/2015 19:20,11/9/2015 19:23,2022,207,223,Clifton Ave & Armitage Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1985.0
8079875,10/25/2015 21:04,10/25/2015 21:17,4268,821,69,Damen Ave & Pierce Ave,260,Kedzie Ave & Milwaukee Ave,Subscriber,Male,1991.0
8202194,11/5/2015 18:10,11/5/2015 18:33,2959,1375,454,Broadway & Granville Ave,292,Southport Ave & Clark St,Subscriber,Male,1976.0
8211662,11/6/2015 15:59,11/6/2015 16:09,1657,599,327,Sheffield Ave & Webster Ave,223,Clifton Ave & Armitage Ave,Customer,,
8371478,11/29/2015 18:49,11/29/2015 18:53,1124,278,254,Pine Grove Ave & Irving Park Rd,303,Broadway & Cornelia Ave,Subscriber,Female,1985.0
8350995,11/24/2015 10:54,11/24/2015 11:02,1557,507,337,Clark St & Chicago Ave,364,Larrabee St & Oak St,Subscriber,Male,1972.0
7988902,10/18/2015 20:22,10/18/2015 20:30,1170,473,133,Kingsbury St & Kinzie St,233,Sangamon St & Washington Blvd,Subscriber,Male,1982.0
8029965,10/21/2015 17:32,10/21/2015 17:56,3495,1449,25,Michigan Ave & Pearson St,76,Lake Shore Dr & Monroe St,Customer,,
8366556,11/28/2015 12:07,11/28/2015 12:35,2033,1642,112,Green St & Randolph St,301,Clark St & Schiller St,Customer,,
7984048,10/18/2015 14:00,10/18/2015 14:57,2295,3441,465,Marine Dr & Ainslie St,255,Indiana Ave & Roosevelt Rd,Customer,,
7812533,10/6/2015 17:06,10/6/2015 17:12,4207,327,37,Dearborn St & Adams St,174,Canal St & Madison St,Subscriber,Male,1988.0
8281190,11/14/2015 4:54,11/14/2015 5:04,2791,614,144,Larrabee St & Webster Ave,48,Larrabee St & Kingsbury St,Subscriber,Male,1989.0
8034077,10/21/2015 21:58,10/21/2015 22:04,747,371,110,Dearborn St & Erie St,133,Kingsbury St & Kinzie St,Subscriber,Male,1984.0
7916936,10/13/2015 10:24,10/13/2015 10:45,4415,1257,47,State St & Kinzie St,90,Millennium Park,Customer,,
8485945,12/15/2015 21:57,12/15/2015 22:03,177,341,212,Wells St & Hubbard St,286,Franklin St & Quincy St,Subscriber,Male,1992.0
8357999,11/25/2015 10:39,11/25/2015 10:53,1830,797,244,Ravenswood Ave & Irving Park Rd,325,Clark St & Winnemac Ave,Customer,,
8526625,12/23/2015 15:29,12/23/2015 15:43,2206,824,508,Central Park Ave & North Ave,260,Kedzie Ave & Milwaukee Ave,Subscriber,Male,1972.0
8057730,10/23/2015 16:54,10/23/2015 17:08,1434,854,344,Ravenswood Ave & Lawrence Ave,458,Broadway & Thorndale Ave,Subscriber,Male,1974.0
8499933,12/18/2015 5:10,12/18/2015 5:15,340,262,198,Green St (Halsted St) & Madison St,18,Wacker Dr & Washington St,Subscriber,Male,1961.0
8053619,10/23/2015 11:34,10/23/2015 11:38,2039,239,330,Lincoln Ave & Addison St,492,Leavitt St & Addison St,Subscriber,Female,1986.0
7845665,10/8/2015 17:41,10/8/2015 17:50,4213,519,212,Wells St & Hubbard St,49,Dearborn St & Monroe St,Subscriber,Male,1978.0
8534147,12/26/2015 13:48,12/26/2015 14:15,271,1645,144,Larrabee St & Webster Ave,144,Larrabee St & Webster Ave,Subscriber,Female,1991.0
8206659,11/6/2015 8:11,11/6/2015 8:25,1598,816,313,Lakeview Ave & Fullerton Pkwy,364,Larrabee St & Oak St,Subscriber,Male,1985.0
8453626,12/11/2015 5:35,12/11/2015 5:43,2316,479,210,Ashland Ave & Division St,359,Larrabee St & Division St,Subscriber,Female,1995.0
8077218,10/25/2015 16:46,10/25/2015 16:52,2063,373,117,Wilton Ave & Belmont Ave,230,Lincoln Ave & Roscoe St,Subscriber,Male,1978.0
8009537,10/20/2015 12:21,10/20/2015 12:40,3844,1154,143,Sedgwick St & Webster Ave,182,Wells St & Elm St,Customer,,
8144793,11/1/2015 16:55,11/1/2015 17:09,2083,863,232,Pine Grove Ave & Waveland Ave,153,Southport Ave & Wellington Ave,Subscriber,Male,1978.0
